,Model,model_len,Process Date,metrics,scores
0,unet,226 imagens,2021.07.27-20.24.13,Jaccard,0.9656357388316152
1,unet,226 imagens,2022.04.09-22.15.32,Jaccard,0.6305970149253731
2,unet,226 imagens,2023.03.26-07.00.18,Jaccard,0.5583596214511041
3,unet,226 imagens,2023.03.26-07.02.39,Jaccard,0.9296482412060302
4,logisticRegression_proba,226 imagens,2023.03.26-11.25.23,Jaccard,0.4777777777777778
5,unet,226 imagens,2023.03.26-11.28.40,Jaccard,0.6765799256505576
6,unet,226 imagens,2023.03.26-15.52.33,Jaccard,0.8073394495412844
7,unet,226 imagens,2023.03.26-15.53.37,Jaccard,0.8936170212765957
8,unet,226 imagens,2023.03.26-18.43.02,Jaccard,0.91156462585034
9,unet,226 imagens,2023.03.26-18.45.32,Jaccard,0.8814814814814815
10,unet,226 imagens,2023.03.26-18.56.14,Jaccard,0.7815533980582524
11,unet,226 imagens,2023.03.26-18.59.12,Jaccard,0.8354430379746836
12,unet,226 imagens,2023.03.26-19.01.32,Jaccard,0.6946107784431138
13,unet,226 imagens,2023.03.26-22.54.06,Jaccard,0.9140625
14,unet,226 imagens,2023.03.26-22.54.41,Jaccard,0.8318181818181818
15,unet,226 imagens,2023.03.26-22.56.46,Jaccard,0.8939393939393939
16,unet,226 imagens,2023.03.26-22.57.27,Jaccard,0.8826291079812206
17,unet,226 imagens,2023.03.28-22.27.27,Jaccard,0.7607361963190185
18,unet,226 imagens,2023.03.28-22.29.11,Jaccard,0.9548022598870056
19,unet,226 imagens,2023.03.28-22.40.02,Jaccard,0.900990099009901
20,unet,226 imagens,2023.03.28-22.40.42,Jaccard,0.8715083798882681
21,unet,226 imagens,2023.03.28-22.41.32,Jaccard,0.7833333333333333
22,unet,226 imagens,2023.03.29-21.52.58,Jaccard,0.8650793650793651
23,logisticRegression_proba,226 imagens,2023.03.29-21.54.34,Jaccard,0.2068965517241379
24,unet,226 imagens,2023.03.29-21.57.23,Jaccard,0.7960526315789473
25,unet,226 imagens,2023.03.29-22.03.33,Jaccard,0.9216589861751152
26,unet,226 imagens,2023.03.29-22.07.18,Jaccard,0.3230769230769231
27,unet,226 imagens,2023.03.30-12.27.27,Jaccard,0.9448818897637796
28,unet,226 imagens,2023.03.30-12.28.32,Jaccard,0.8013245033112583
29,unet,226 imagens,2023.03.30-12.29.32,Jaccard,0.7801418439716312
30,unet,226 imagens,2023.03.30-12.31.57,Jaccard,0.8165137614678899
31,unet,226 imagens,2023.03.30-12.33.04,Jaccard,0.8442622950819673
32,unet,226 imagens,2023.03.30-12.33.45,Jaccard,0.8108108108108109
33,unet,226 imagens,2023.03.30-16.13.37,Jaccard,0.8465346534653465
34,unet,226 imagens,2023.03.30-17.34.33,Jaccard,0.8554913294797688
35,unet,226 imagens,2023.03.30-19.58.05,Jaccard,0.88
36,unet,226 imagens,2023.03.30-19.58.41,Jaccard,0.6684491978609626
37,unet,226 imagens,2023.03.30-20.03.56,Jaccard,0.7484662576687117
38,unet,226 imagens,2023.03.30-20.04.42,Jaccard,0.8396946564885496
39,unet,226 imagens,2023.06.02-19.19.46,Jaccard,0.7672955974842768
40,unet,226 imagens,2023.06.02-19.22.04,Jaccard,0.8809523809523809
41,unet,226 imagens,2023.06.02-19.22.49,Jaccard,0.7761194029850746
42,unet,226 imagens,2023.06.02-19.23.39,Jaccard,0.696969696969697
43,unet,226 imagens,2023.06.02-19.28.13,Jaccard,0.8524590163934426
44,unet,226 imagens,2023.06.02-19.29.01,Jaccard,0.6192893401015228
45,unet,226 imagens,2023.06.02-19.38.05,Jaccard,0.8106060606060606
46,unet,226 imagens,2023.06.02-20.22.44,Jaccard,0.8538461538461538
47,unet,226 imagens,2023.06.02-20.23.50,Jaccard,0.8661417322834646
48,unet,226 imagens,2023.06.02-20.26.43,Jaccard,0.831858407079646
49,unet,226 imagens,2023.06.02-20.30.15,Jaccard,0.4925373134328358
50,unet,226 imagens,2023.06.02-20.31.45,Jaccard,0.872
