,Model,Process Date,metrics,scores,type
0,unet,2021.07.27-20.24.13,Jaccard,0.9623287671232876,afm_optico
1,unet,2022.04.09-22.15.32,Jaccard,0.6305970149253731,afm_optico
2,unet,2023.03.26-07.00.18,Jaccard,0.5583596214511041,afm_optico
3,unet,2023.03.26-07.02.39,Jaccard,0.9296482412060302,afm_optico
4,unet,2023.03.26-11.25.23,Jaccard,0.6709677419354839,afm_optico
5,unet,2023.03.26-11.28.40,Jaccard,0.6765799256505576,afm_optico
6,unet,2023.03.26-15.52.33,Jaccard,0.8073394495412844,afm_optico
7,unet,2023.03.26-15.53.37,Jaccard,0.8936170212765957,afm_optico
8,unet,2023.03.26-18.43.02,Jaccard,0.91156462585034,afm_optico
9,unet,2023.03.26-18.45.32,Jaccard,0.8814814814814815,afm_optico
10,unet,2023.03.26-18.56.14,Jaccard,0.7815533980582524,afm_optico
11,unet,2023.03.26-18.59.12,Jaccard,0.8354430379746836,afm_optico
12,unet,2023.03.26-19.01.32,Jaccard,0.6904761904761905,afm_optico
13,unet,2023.03.26-22.54.06,Jaccard,0.9140625,afm_optico
14,unet,2023.03.26-22.54.41,Jaccard,0.8318181818181818,afm_optico
15,unet,2023.03.26-22.56.46,Jaccard,0.8939393939393939,afm_optico
16,unet,2023.03.26-22.57.27,Jaccard,0.8826291079812206,afm_optico
17,unet,2023.03.28-22.27.27,Jaccard,0.7607361963190185,afm_optico
18,unet,2023.03.28-22.29.11,Jaccard,0.9548022598870056,afm_optico
19,unet,2023.03.28-22.40.02,Jaccard,0.900990099009901,afm_optico
20,unet,2023.03.28-22.40.42,Jaccard,0.8666666666666667,afm_optico
21,unet,2023.03.28-22.41.32,Jaccard,0.7833333333333333,afm_optico
22,unet,2023.03.29-21.52.58,Jaccard,0.8650793650793651,afm_optico
23,unet,2023.03.29-21.54.34,Jaccard,0.0,afm_optico
24,unet,2023.03.29-21.57.23,Jaccard,0.7960526315789473,afm_optico
25,unet,2023.03.29-22.03.33,Jaccard,0.9216589861751152,afm_optico
26,unet,2023.03.29-22.07.18,Jaccard,0.3230769230769231,afm_optico
27,unet,2023.03.30-12.27.27,Jaccard,0.9448818897637796,afm_optico
28,unet,2023.03.30-12.28.32,Jaccard,0.8013245033112583,afm_optico
29,unet,2023.03.30-12.29.32,Jaccard,0.7801418439716312,afm_optico
30,unet,2023.03.30-12.31.57,Jaccard,0.8165137614678899,afm_optico
31,unet,2023.03.30-12.33.04,Jaccard,0.8442622950819673,afm_optico
32,unet,2023.03.30-12.33.45,Jaccard,0.8108108108108109,afm_optico
33,unet,2023.03.30-16.13.37,Jaccard,0.8465346534653465,afm_optico
34,unet,2023.03.30-17.34.33,Jaccard,0.8554913294797688,afm_optico
35,unet,2023.03.30-19.58.05,Jaccard,0.88,afm_optico
36,unet,2023.03.30-19.58.41,Jaccard,0.6684491978609626,afm_optico
37,unet,2023.03.30-20.03.56,Jaccard,0.7484662576687117,afm_optico
38,unet,2023.03.30-20.04.42,Jaccard,0.8396946564885496,afm_optico
39,unet,2023.06.02-19.19.46,Jaccard,0.7672955974842768,afm_optico
40,unet,2023.06.02-19.22.04,Jaccard,0.8809523809523809,afm_optico
41,unet,2023.06.02-19.22.49,Jaccard,0.7761194029850746,afm_optico
42,unet,2023.06.02-19.23.39,Jaccard,0.696969696969697,afm_optico
43,unet,2023.06.02-19.28.13,Jaccard,0.8524590163934426,afm_optico
44,unet,2023.06.02-19.29.01,Jaccard,0.6192893401015228,afm_optico
45,unet,2023.06.02-19.38.05,Jaccard,0.8106060606060606,afm_optico
46,unet,2023.06.02-20.22.44,Jaccard,0.8538461538461538,afm_optico
47,unet,2023.06.02-20.23.50,Jaccard,0.8661417322834646,afm_optico
48,unet,2023.06.02-20.26.43,Jaccard,0.831858407079646,afm_optico
49,unet,2023.06.02-20.30.15,Jaccard,0.4925373134328358,afm_optico
50,unet,2023.06.02-20.31.45,Jaccard,0.872,afm_optico
51,unet,2023.06.02-20.32.27,Jaccard,0.7622377622377622,afm_optico
52,unet,2021.07.27-20.24.13,Recall,0.9929328621908128,afm_optico
53,unet,2022.04.09-22.15.32,Recall,0.7130801687763713,afm_optico
54,unet,2023.03.26-07.00.18,Recall,0.5636942675159236,afm_optico
55,unet,2023.03.26-07.02.39,Recall,0.9487179487179488,afm_optico
56,unet,2023.03.26-11.25.23,Recall,0.7482014388489209,afm_optico
57,unet,2023.03.26-11.28.40,Recall,0.6893939393939394,afm_optico
58,unet,2023.03.26-15.52.33,Recall,0.9777777777777776,afm_optico
59,unet,2023.03.26-15.53.37,Recall,0.9921259842519684,afm_optico
60,unet,2023.03.26-18.43.02,Recall,0.9852941176470588,afm_optico
61,unet,2023.03.26-18.45.32,Recall,0.9754098360655736,afm_optico
62,unet,2023.03.26-18.56.14,Recall,1.0,afm_optico
63,unet,2023.03.26-18.59.12,Recall,0.9850746268656716,afm_optico
64,unet,2023.03.26-19.01.32,Recall,0.7295597484276729,afm_optico
65,unet,2023.03.26-22.54.06,Recall,0.9915254237288136,afm_optico
66,unet,2023.03.26-22.54.41,Recall,0.8591549295774648,afm_optico
67,unet,2023.03.26-22.56.46,Recall,0.9291338582677166,afm_optico
68,unet,2023.03.26-22.57.27,Recall,0.8909952606635071,afm_optico
69,unet,2023.03.28-22.27.27,Recall,0.9465648854961832,afm_optico
70,unet,2023.03.28-22.29.11,Recall,0.9883040935672516,afm_optico
71,unet,2023.03.28-22.40.02,Recall,0.9479166666666666,afm_optico
72,unet,2023.03.28-22.40.42,Recall,1.0,afm_optico
73,unet,2023.03.28-22.41.32,Recall,0.9894736842105264,afm_optico
74,unet,2023.03.29-21.52.58,Recall,0.923728813559322,afm_optico
75,unet,2023.03.29-21.54.34,Recall,0.0,afm_optico
76,unet,2023.03.29-21.57.23,Recall,0.8832116788321168,afm_optico
77,unet,2023.03.29-22.03.33,Recall,0.9433962264150944,afm_optico
78,unet,2023.03.29-22.07.18,Recall,0.3230769230769231,afm_optico
79,unet,2023.03.30-12.27.27,Recall,0.967741935483871,afm_optico
80,unet,2023.03.30-12.28.32,Recall,0.937984496124031,afm_optico
81,unet,2023.03.30-12.29.32,Recall,0.9565217391304348,afm_optico
